m,run_id,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
2,20,620.499217685662,315.2246071605471,9.949996635432285,0.7783360481262207,0.005654,0.028014,100,1.8032973779773824
3,1,720.3468155860016,248.40880682355984,19.306888983640107,0.8861513137817383,0.005764,0.029284,100,1.149898744297873
3,2,775.7105466183634,271.72097558109107,34.174115209027946,0.7977514266967773,0.00567,0.028086,91,1.0924282277640263
3,3,707.533356461459,245.92304862137755,16.13659099325693,1.927562952041626,0.005904,0.028224,100,1.2972916688456477
3,4,816.7563746826977,278.09748226021014,9.208075248275179,2.402744770050049,0.006142,0.02843,73,1.3458626457509009
3,5,693.0728460515793,240.52335598089093,27.011633818170623,2.356431484222412,0.005559,0.027847,100,1.4294344030124904
3,6,737.3849950765202,256.93624163691175,31.42405417360834,2.672874689102173,0.005734,0.02811,100,0.9772687084969977
3,7,725.6842943538637,253.13887029914997,18.832459932039114,2.4776155948638916,0.005998,0.02839,100,0.9236800835678519
3,8,862.976450435993,291.2236412593539,5.617608057129985,0.9670693874359131,0.006312,0.028576,88,0.7179157865960396
3,9,700.9510676904837,252.98561612010337,54.148890946737794,0.8921117782592773,0.005567,0.028479,100,1.0108070047697157
3,10,809.8156191822193,271.03302981299043,3.1871508827505295,0.9624252319335938,0.005636,0.027942,82,1.256060360248947
3,11,696.9825597248685,238.95600504797102,13.01383739527671,0.8940577507019043,0.005575,0.027783,75,1.6672876156787408
3,12,761.8577063691839,268.6199987570844,33.75001811080372,0.8156993389129639,0.005496,0.028394,100,1.043826710680907
3,13,785.3059623239212,267.66456890825896,10.819490365749857,0.8988950252532959,0.005742,0.02881,89,1.2187333536637104
3,14,758.4575251609178,261.99869836253197,19.035432491868562,0.7932164669036865,0.0056,0.028378,100,0.8617211042487543
3,15,746.4500344617455,258.1234507234408,13.979884935831251,0.7720386981964111,0.005604,0.028422,100,1.2196803458361967
3,16,770.3168713280184,259.47512211469325,5.827563688677628,0.8688409328460693,0.005622,0.028528,90,1.2185488582578032
3,17,750.0879959329338,259.1660840047932,20.274175163538644,0.8346211910247803,0.00558,0.02798,71,1.0320108409002169
3,18,745.8116600841702,269.7820884413921,51.65974428219863,0.782036542892456,0.00579,0.02884,100,1.0562436799176425
3,19,736.1922975714668,253.3489153705546,20.450948040626827,0.8637187480926514,0.006556,0.028916,87,1.4852739120474208
3,20,800.2587738983243,270.33558209518037,8.97290548563825,0.7845897674560547,0.005756,0.028766,100,1.1774199682249298
